rule,good,bad,total,bad_rate,lift,depth
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt>666.08 & BirthDate>380001600.0 & LoanBal>141410.0859 & BirthDate<=613926016.0 & LoanRate<=2.8435,74.0,38.0,112.0,0.3392857142857143,4.922534846365097,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType<=115.0 & LoanBal<=111236.2852 & CpnyIndustry>4.5 & CpnyIndustry<=12.5 & CpnyIndustry<=11.5 & CpnyIndustry<=8.5 & PsonAcBalCurY>1970.455,59.0,30.0,89.0,0.33707865168539325,4.890513626193591,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType>145.5 & CpnyEcoType>245.0 & CpnyMoPayAmt<=1337.55 & PsonAcBalCurY>978.285 & BirthDate<=285307200.0 & LoanAmt>167737.0,35.0,17.0,52.0,0.3269230769230769,4.743171228481348,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt>666.08 & BirthDate<=380001600.0 & LoanAmt>247737.0 & LoanBal<=175895.2812,35.0,15.0,50.0,0.3,4.352557127312296,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType<=195.0 & CpnyMoPayAmt<=727.35 & CpnyIndustry>5.5 & CpnyIndustry>8.0,59.0,24.0,83.0,0.2891566265060241,4.195235785361249,7
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase<=1194.5 & BirthDate<=619239616.0 & PsonAcBalPreY<=11624.5498 & LoanBal<=91532.9922,45.0,18.0,63.0,0.2857142857142857,4.145292502202186,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate>237873600.0 & CpnyIndustry<=17.5 & LoanAmt>126737.0 & PsonPayBase<=5920.75,58.0,23.0,81.0,0.2839506172839506,4.1197042768799506,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase>6071.0 & CpnyIndustry>13.5 & PsonPayBase<=9232.5 & PsonAcBal<=15107.7754,48.0,19.0,67.0,0.2835820895522388,4.1143574835290355,8
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate>237873600.0 & CpnyIndustry>17.5 & BirthDate>508780800.0 & PsonMoPayAmt>836.935,41.0,14.0,55.0,0.2545454545454545,3.6930787746892206,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate>237873600.0 & CpnyIndustry<=17.5 & LoanAmt>126737.0 & PsonPayBase>5920.75 & PsonAcBalCurY>5263.8701,53.0,17.0,70.0,0.24285714285714285,3.5234986268718584,10
